epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.138,1.50875,2.82177,0.00611,0.48635,0.32325,0.30508,0.20125,1.86679,2.61955,0.01204,0.000656566,0.000656566,0.000656566
2,113.214,1.68567,2.12594,0.00747,0.39683,0.28061,0.24418,0.14197,2.02244,2.72043,0.01362,0.00132291,0.00132291,0.00132291
3,158.292,1.80109,2.15595,0.00824,0.3959,0.31499,0.24719,0.14695,2.15453,3.28467,0.01545,0.00198796,0.00198796,0.00198796
4,203.114,1.84149,2.1131,0.00941,0.43378,0.22971,0.24406,0.13821,2.13583,3.05953,0.0161,0.00199561,0.00199561,0.00199561
5,249.593,1.81942,2.03322,0.00884,0.4596,0.32325,0.28026,0.16695,nan,nan,nan,0.00199219,0.00199219,0.00199219
6,294.824,1.81219,2.09985,0.00941,0.47423,0.29161,0.27133,0.1738,1.8919,2.9964,0.01383,0.00198781,0.00198781,0.00198781
7,340.078,1.81665,2.01207,0.00876,0.4307,0.32875,0.30691,0.19268,2.14028,2.69053,0.01457,0.00198246,0.00198246,0.00198246
8,385.752,1.76681,1.97539,0.0087,0.47776,0.33012,0.319,0.19958,1.92733,2.58974,0.01424,0.00197616,0.00197616,0.00197616
9,429.45,1.71344,1.93391,0.00801,0.50161,0.36589,0.36364,0.23345,2.02586,2.35259,0.01261,0.0019689,0.0019689,0.0019689
10,473.912,1.73074,1.89929,0.00853,0.52555,0.39477,0.38649,0.25243,1.91061,2.37446,0.01284,0.00196069,0.00196069,0.00196069
11,518.337,1.69913,1.88412,0.00793,0.54312,0.34388,0.36504,0.23622,1.83754,2.1337,0.01332,0.00195155,0.00195155,0.00195155
12,563.545,1.72801,1.86035,0.00776,0.51323,0.36402,0.33816,0.21617,1.98753,2.59695,0.01253,0.00194147,0.00194147,0.00194147
13,606.807,1.71569,1.86579,0.00796,0.56158,0.34801,0.37496,0.25111,1.90412,2.36118,0.01181,0.00193048,0.00193048,0.00193048
14,650.316,1.66788,1.84798,0.00775,0.49215,0.36451,0.35907,0.2323,1.88762,2.54576,0.01123,0.00191858,0.00191858,0.00191858
15,695.43,1.63695,1.79203,0.00764,0.52811,0.40165,0.39204,0.25577,2.06066,2.37583,0.01376,0.00190578,0.00190578,0.00190578
16,740.481,1.6511,1.78793,0.00778,0.58784,0.41403,0.42022,0.27586,1.78119,2.44575,0.01167,0.0018921,0.0018921,0.0018921
17,783.945,1.64983,1.74913,0.00742,0.64325,0.38377,0.4335,0.28433,1.83598,2.12178,0.01317,0.00187754,0.00187754,0.00187754
18,827.291,1.62153,1.739,0.00764,0.56429,0.38927,0.42029,0.27146,1.77554,2.23864,0.01196,0.00186213,0.00186213,0.00186213
19,870.805,1.63943,1.76098,0.00705,0.63885,0.37471,0.41661,0.27501,1.80045,2.28996,0.01062,0.00184588,0.00184588,0.00184588
20,914.951,1.66323,1.7426,0.00734,0.61961,0.38102,0.40206,0.26047,2.02153,2.14536,0.0133,0.00182881,0.00182881,0.00182881
21,958.133,1.65808,1.74854,0.00737,0.59016,0.40715,0.42391,0.2838,1.76811,2.13812,0.01106,0.00181093,0.00181093,0.00181093
22,1002.83,1.63817,1.71482,0.00715,0.52633,0.37139,0.37312,0.24915,1.88759,2.8665,0.01106,0.00179225,0.00179225,0.00179225
23,1045.92,1.59816,1.66915,0.00694,0.52384,0.40028,0.40004,0.26303,1.86678,2.43149,0.01102,0.00177281,0.00177281,0.00177281
24,1091.79,1.56282,1.64313,0.00704,0.58209,0.40303,0.40902,0.28042,1.84004,2.30422,0.01179,0.00175261,0.00175261,0.00175261
25,1139.28,1.59713,1.6358,0.00701,0.55491,0.3879,0.40041,0.26456,1.87638,1.93415,0.01233,0.00173168,0.00173168,0.00173168
26,1186.1,1.58952,1.66361,0.00705,0.62287,0.42641,0.45415,0.30564,1.84698,2.12253,0.01046,0.00171004,0.00171004,0.00171004
27,1229.98,1.56902,1.59741,0.00666,0.655,0.41816,0.45363,0.30263,1.83771,2.35088,0.01159,0.0016877,0.0016877,0.0016877
28,1275.03,1.5562,1.58752,0.00682,0.61224,0.38927,0.42206,0.27575,1.93306,2.37713,0.01168,0.0016647,0.0016647,0.0016647
29,1321,1.57276,1.62913,0.0065,0.56811,0.39443,0.41331,0.27588,1.93175,2.23565,0.01166,0.00164105,0.00164105,0.00164105
30,1366.1,1.57141,1.58356,0.00667,0.57558,0.40303,0.41923,0.27653,1.93519,2.17365,0.01248,0.00161678,0.00161678,0.00161678
31,1411.2,1.53608,1.58701,0.00653,0.64709,0.37414,0.43132,0.28094,2.03584,2.04167,0.01281,0.00159191,0.00159191,0.00159191
32,1455.41,1.51159,1.5386,0.00663,0.62197,0.41265,0.44168,0.30192,1.94255,2.07671,0.01205,0.00156646,0.00156646,0.00156646
33,1498.69,1.49522,1.5057,0.00673,0.67089,0.44022,0.48305,0.32506,1.85139,2.07985,0.01163,0.00154047,0.00154047,0.00154047
34,1543.56,1.5155,1.51864,0.00646,0.62316,0.38102,0.42055,0.28167,1.81777,2.33355,0.01055,0.00151395,0.00151395,0.00151395
35,1588.6,1.52963,1.53946,0.00632,0.6612,0.4044,0.44955,0.31247,1.94017,2.21697,0.01196,0.00148694,0.00148694,0.00148694
36,1633.01,1.48429,1.50828,0.00604,0.61517,0.41953,0.45913,0.32129,1.85927,2.02805,0.01142,0.00145945,0.00145945,0.00145945
37,1676.47,1.48761,1.51994,0.00618,0.70485,0.43466,0.48948,0.33934,1.72059,2.03668,0.01142,0.00143152,0.00143152,0.00143152
38,1718.94,1.4901,1.47613,0.00677,0.6663,0.42228,0.47563,0.33391,1.79732,2.11685,0.01111,0.00140318,0.00140318,0.00140318
39,1764,1.43999,1.42993,0.00632,0.71171,0.41816,0.48816,0.33901,1.93255,2.00865,0.01079,0.00137444,0.00137444,0.00137444
40,1808.08,1.43836,1.39749,0.00632,0.7017,0.42503,0.49393,0.34076,1.95394,1.90063,0.01121,0.00134535,0.00134535,0.00134535
41,1852.41,1.48382,1.43107,0.00575,0.62011,0.43879,0.45043,0.30764,1.69845,2.08638,0.01117,0.00131593,0.00131593,0.00131593
42,1897.6,1.41736,1.35768,0.00571,0.68662,0.42916,0.48595,0.34199,1.8502,1.96231,0.00993,0.0012862,0.0012862,0.0012862
43,1945.76,1.47001,1.39741,0.00606,0.64116,0.42779,0.47802,0.32746,1.72956,2.13031,0.00911,0.0012562,0.0012562,0.0012562
44,1990.83,1.46138,1.38285,0.00569,0.75219,0.42366,0.49582,0.35213,1.86853,1.91085,0.01098,0.00122596,0.00122596,0.00122596
45,2037.12,1.37212,1.34027,0.00561,0.67441,0.43307,0.48098,0.33502,1.6959,2.31625,0.00937,0.00119551,0.00119551,0.00119551
46,2082.32,1.4356,1.3881,0.00569,0.71003,0.41265,0.48936,0.34136,1.75406,1.91505,0.01102,0.00116487,0.00116487,0.00116487
47,2126.53,1.4304,1.36039,0.0055,0.65559,0.44704,0.48542,0.34979,1.67638,1.9332,0.01078,0.00113408,0.00113408,0.00113408
48,2173.18,1.42244,1.34437,0.00543,0.7385,0.42641,0.50276,0.35769,1.6927,1.81691,0.01038,0.00110317,0.00110317,0.00110317
